"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 16일","104.54","104.57","104.64","104.42","-","-0.02%"
"2022년 05월 15일","104.57","104.46","104.59","104.46","-","0.00%"
"2022년 05월 13일","104.56","104.77","105.00","104.46","-","-0.27%"
"2022년 05월 12일","104.85","104.01","104.93","103.88","-","0.97%"
"2022년 05월 11일","103.85","103.90","104.11","103.37","-","-0.07%"
"2022년 05월 10일","103.92","103.73","103.98","103.50","-","0.26%"
"2022년 05월 09일","103.65","103.66","104.19","103.39","-","-0.13%"
"2022년 05월 08일","103.79","103.66","103.80","103.66","-","0.13%"
"2022년 05월 06일","103.66","103.56","104.06","103.19","-","-0.09%"
"2022년 05월 05일","103.75","102.68","103.94","102.35","-","1.14%"
"2022년 05월 04일","102.59","103.46","103.61","102.46","-","-0.85%"
"2022년 05월 03일","103.46","103.60","103.67","103.03","-","-0.27%"
"2022년 05월 02일","103.74","103.21","103.75","103.11","-","0.76%"
"2022년 04월 29일","102.96","103.67","103.67","102.82","-","-0.64%"
"2022년 04월 28일","103.62","103.04","103.93","102.98","-","0.65%"
"2022년 04월 27일","102.95","102.28","103.28","102.22","-","0.64%"
"2022년 04월 26일","102.30","101.73","102.36","101.51","-","0.54%"
"2022년 04월 25일","101.75","101.12","101.86","101.04","-","0.53%"
"2022년 04월 22일","101.22","100.62","101.33","100.47","-","0.64%"
"2022년 04월 21일","100.58","100.35","100.64","99.82","-","0.19%"
"2022년 04월 20일","100.39","100.98","101.04","100.22","-","-0.57%"
"2022년 04월 19일","100.96","100.83","101.03","100.70","-","0.18%"
"2022년 04월 18일","100.78","100.50","100.86","100.46","-","0.46%"
"2022년 04월 15일","100.32","100.42","100.57","100.32","-","0.00%"
"2022년 04월 14일","100.32","99.79","100.76","99.57","-","0.45%"
"2022년 04월 13일","99.88","100.34","100.52","99.83","-","-0.42%"
"2022년 04월 12일","100.29","100.04","100.33","99.74","-","0.36%"
"2022년 04월 11일","99.93","99.84","100.05","99.61","-","0.14%"
