"DateTime","Average USD","Average USD"
"2022-04-28 00:00:00",,
"2022-04-29 00:00:00",,
"2022-04-30 00:00:00",,
"2022-05-01 00:00:00",9374.42,9374.42
"2022-05-02 00:00:00",26109.46,26109.46
"2022-05-03 00:00:00",20751.23,20751.23
"2022-05-04 00:00:00",23766.05,23766.05
"2022-05-05 00:00:00",26975.44,26975.44
"2022-05-06 00:00:00",22060.88,22060.88
"2022-05-07 00:00:00",33544.07,33544.07
"2022-05-08 00:00:00",25626.47,25626.47
"2022-05-09 00:00:00",12087.01,12087.01
"2022-05-10 00:00:00",16693.63,16693.63
"2022-05-11 00:00:00",11256.04,11256.04
"2022-05-12 00:00:00",10788.56,10788.56
"2022-05-13 00:00:00",12755.71,12755.71
"2022-05-14 00:00:00",11121.09,11121.09
"2022-05-15 00:00:00",11431.74,11431.74
