DateTime,Number of sales,Average USD,Sales USD,Active market wallets,Unique buyers
2022-04-28,0,0.0,0.0,0,0
2022-04-29,0,0.0,0.0,0,0
2022-04-30,0,0.0,0.0,0,0
2022-05-01,68917,9374.42,646056885.1,36182,34203
2022-05-02,6683,26109.46,174489551.9,7192,4450
2022-05-03,1453,20751.23,30151536.62,1883,1081
2022-05-04,1070,23766.05,25429677.65,1541,818
2022-05-05,1166,26975.44,31453359.56,1575,832
2022-05-06,792,22060.88,17472213.92,1093,615
2022-05-07,773,33544.07,25929563.11,945,510
2022-05-08,510,25626.47,13069497.56,721,368
2022-05-09,815,12087.01,9850913.32,1097,584
2022-05-10,610,16693.63,10183111.65,944,507
2022-05-11,496,11256.04,5582998.07,713,374
2022-05-12,950,10788.56,10249127.92,1258,733
2022-05-13,468,12755.71,5969670.62,706,390
2022-05-14,352,11121.09,3914622.21,486,270
2022-05-15,206,11431.74,2354938.71,337,169
